Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
670,1,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,m,,
670,2,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,m,,
670,3,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,m,,
670,4,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,m,,
670,5,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,m,,
670,6,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,m,,
670,7,Whiteknights Park (E),2021-04-09,,Anthomyiidae,Pegomya sp,f,,
670,8,Whiteknights Park (E),2021-04-09,,Anthomyiidae,,m,,
670,9,Whiteknights Park (E),2021-04-09,,Anthomyiidae,,m,,
670,10,Whiteknights Park (E),2021-04-09,,Anthomyiidae,,m,,
670,11,Whiteknights Park (E),2021-04-09,,Anthomyiidae,,m,,
670,12,Whiteknights Park (E),2021-04-09,,Chironomidae,,f,,
670,13,Whiteknights Park (E),2021-04-09,,Chironomidae,,f,,
670,14,Whiteknights Park (E),2021-04-09,,Chironomidae,,f,,
670,15,Whiteknights Park (E),2021-04-09,,Chironomidae,,f,,
670,16,Whiteknights Park (E),2021-04-09,,Chironomidae,,m,,
670,17,Whiteknights Park (E),2021-04-09,,Chironomidae,,m,,
670,18,Whiteknights Park (E),2021-04-09,,Anthomyiidae,,f,,
670,19,Whiteknights Park (E),2021-04-09,,Scathophagidae,Nanna fasciata,f,"Ball, 2014",
670,20,The Wilderness (W),2021-04-10,,Anthomyiidae,Leucophora personata,m,"Ackland et al draft keys, 2017",
670,21,The Wilderness (W),2021-04-10,,Anthomyiidae,Leucophora obtusa,f,"Ackland et al draft keys, 2017",
670,22,The Wilderness (W),2021-04-10,,Anthomyiidae,,f,,
670,23,The Wilderness (W),2021-04-10,,Anthomyiidae,Leucophora personata,m,"Ackland et al draft keys, 2017",
670,24,The Wilderness (W),2021-04-10,,Anthomyiidae,,m,,
670,25,The Wilderness (W),2021-04-10,,Anthomyiidae,,m,,
670,26,The Wilderness (W),2021-04-10,,Anthomyiidae,,m,,
670,27,The Wilderness (W),2021-04-10,,Anthomyiidae,,m,,
670,28,The Wilderness (W),2021-04-10,,Anthomyiidae,,m,,
670,29,The Wilderness (W),2021-04-10,,Anthomyiidae,,m,,
670,30,The Wilderness (W),2021-04-10,,Bibionidae,Bibio sp,m,,
670,31,The Wilderness (W),2021-04-10,,Bibionidae,Bibio sp,m,,
670,32,The Wilderness (W),2021-04-10,,Chironomidae,,m,,
