Box,Number,Location,Date,Order,Family,Species,Sex,Key,Notes
129,1,The Wilderness (W),2016-04-24,,Muscidae,,m,,
129,2,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,3,The Wilderness (W),2016-04-24,,Anthomyiidae,,m,,
129,4,The Wilderness (W),2016-04-24,,Anthomyiidae,,m,,
129,5,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,6,The Wilderness (W),2016-04-24,,Anthomyiidae,,m,,
129,7,The Wilderness (W),2016-04-24,,Anthomyiidae,,m,,
129,8,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,9,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,10,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,11,The Wilderness (W),2016-04-24,,Anthomyiidae,,m,,
129,12,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,13,The Wilderness (W),2016-04-24,,Anthomyiidae,,f,,
129,14,The Wilderness (W),2016-04-24,,Anthomyiidae,,m,,
129,15,The Wilderness (W),2016-04-24,,Fanniidae,,f,,
129,16,The Wilderness (W),2016-04-24,,Ephydridae,,f,,
129,17,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,18,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,19,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,20,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,
129,21,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,22,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,23,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,24,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,25,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,26,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,
129,27,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,
129,28,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,29,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,30,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,
129,31,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,
129,32,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,Abdomen glued back on
129,33,The Wilderness (W),2016-04-24,,Scathophagidae,,f,,
129,34,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,35,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,36,The Wilderness (W),2016-04-24,,Scathophagidae,,m,,
129,37,The Wilderness (W),2016-04-24,,Lonchopteridae,Lonchoptera sp,f,,
129,38,The Wilderness (W),2016-04-24,,Lonchopteridae,Lonchoptera sp,f,,
129,39,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,40,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,41,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,42,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,43,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,44,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,45,The Wilderness (W),2016-04-24,,Agromyzidae,,,,
129,46,Whiteknights Park (E),2016-04-24,,Scathophagigae,,f,,
129,47,Whiteknights Park (E),2016-04-24,,Sphaeroceridae,,f,,
129,48,Whiteknights Park (E),2016-04-24,,Muscidae,Phaonia sp,f,,
129,49,Whiteknights Park (E),2016-04-24,,Muscidae,Phaonia sp,m,,
129,50,Whiteknights Park (E),2016-04-24,,Tachinidae,,m,,
129,51,Whiteknights Park (E),2016-04-24,,Sarcophagidae,,m,,
129,52,Whiteknights Park (E),2016-04-24,,Scathophagidae,Scathophaga scybalaria,m,,
129,53,Whiteknights Park (E),2016-04-24,,Scathophagidae,Scathophaga sp,f,,
129,54,Whiteknights Park (E),2016-04-24,,Scathophagidae,Scathophaga sp,f,,
129,55,Whiteknights Park (E),2016-04-24,,Scathophagidae,Scathophaga sp,f,,
129,56,Whiteknights Park (E),2016-04-24,,Scathophagidae,,m,,
129,57,Whiteknights Park (E),2016-04-24,,Anthomyiidae,,f,,
129,58,Whiteknights Park (E),2016-04-24,,Heleomyzidae,,m,,
129,59,Whiteknights Park (E),2016-04-24,,Muscidae,,m,,
129,60,Whiteknights Park (E),2016-04-24,,Anthomyiidae,Leucophora sp,m,,
129,61,Whiteknights Park (E),2016-04-24,,Muscidae,,m,,
129,62,Whiteknights Park (E),2016-04-24,,Anthomyiidae,,f,,
129,63,Whiteknights Park (E),2016-04-24,,Anthomyiidae,,f,,
129,64,Whiteknights Park (E),2016-04-24,,Anthomyiidae,,f,,
129,65,Whiteknights Park (E),2016-04-24,,Anthomyiidae,,m,,
